1/1/23,WINE AND BEYOND,ALCOHOL,Optional_Expenses,Vices,,$52.05
1/14/22,USL,VEH ALLOW,Income,Salary,0,
2/28/22,USL,VEH ALLOW,Income,Salary,0,
3/15/22,USL,VEH ALLOW,Income,Salary,0,
3/31/22,USL,VEH ALLOW,Income,Salary,0,
4/14/22,USL,VEH ALLOW,Income,Salary,0,
4/29/22,USL,VEH ALLOW,Income,Salary,0,
5/13/22,USL,VEH ALLOW,Income,Salary,0,
6/30/22,USL,VEH ALLOW,Income,Salary,0,
7/15/22,USL,VEH ALLOW,Income,Salary,0,
7/29/22,USL,VEH ALLOW,Income,Salary,0,
8/15/22,USL,VEH ALLOW,Income,Salary,0,
8/31/22,USL,VEH ALLOW,Income,Salary,0,
9/15/22,USL,VEH ALLOW,Income,Salary,0,
9/30/22,USL,VEH ALLOW,Income,Salary,0,
10/14/22,USL,VEH ALLOW,Income,Salary,0,
10/31/22,USL,VEH ALLOW,Income,Salary,0,
11/30/22,USL,MISCTXBB,Income,Salary,0,
12/15/22,USL,MISCTXBB,Income,Salary,0,
4/28/23,USL,VACATION ON TERMINATION,Income,Salary,"$4,598.34",
3/3/23,USL,BONUS,Income,Bonus,"$4,044.63",
4/15/23,USL,REGULAR PAY,Income,Salary,"$3,400.00",
4/28/23,USL,REGULAR PAY,Income,Salary,"$3,400.00",
1/15/23,USL,REGULAR PAY,Income,Salary,"$3,050.12",
1/31/23,USL,REGULAR PAY,Income,Salary,"$3,050.12",
2/15/23,USL,REGULAR PAY,Income,Salary,"$3,050.12",
2/28/23,USL,REGULAR PAY,Income,Salary,"$3,050.12",
3/15/23,USL,REGULAR PAY,Income,Salary,"$3,050.12",
3/31/23,USL,REGULAR PAY,Income,Salary,"$3,050.12",
3/31/23,MOM,TUITION MONEY,Income,Gifts,"$2,000.00",
8/31/23,MOM,MOM MONEY FOR SCHOOL,Income,Gifts,"$2,000.00",
5/12/23,USL,PAY,Income,Salary,"$1,642.60",
9/6/23,MOM,MOM MONEY FOR SCHOOL,Income,Gifts,"$1,000.00",
9/13/23,MOM,MOM MONEY FOR SCHOOL,Income,Gifts,"$1,000.00",
6/9/23,USL,PAY,Income,Salary,$922.96,
8/18/23,USL,PAYROLL,Income,Salary,$694.88,
4/25/23,GOVERNMENT,TAX RETURN,Income,Other,$658.72,
7/21/23,USL,PAYROLL,Income,Salary,$592.85,
6/23/23,USL,PAY,Income,Salary,$587.85,
9/1/23,USL,PAYROLL,Income,Salary,$546.27,
9/1/23,USL,PAYROLL,Income,Salary,$546.27,
9/13/23,MOM,MOM MONEY FOR SCHOOL,Income,Gifts,$500.00,
9/12/23,MOM,MOM MONEY FOR SCHOOL,Income,Gifts,$450.00,
3/27/23,SUNLIFE,BENEFITS PAYMENT (EYES),Income,Reimbursement,$320.00,
1/24/23,SUNLIFE,BENEFITS PAYMENT (DENTAL),Income,Benefits,$312.77,
8/10/23,USL,PAYROLL,Income,Salary,$299.50,
3/14/23,USL,WORK REIMBURSEMENT,Income,Reimbursement,$276.52,
2/14/23,SUNLIFE,PERSONAL SPENDING ACCOUNT REIMBURSEMENT,Income,Benefits,$250.08,
3/21/23,USL,FLEXIBLE WORK ALLOWANCE,Income,Benefits,$250.00,
4/28/23,USL,TXB - MISC CASH,Income,Other,$238.09,
7/7/23,USL,PAYROLL,Income,Salary,$229.08,
1/17/23,USL,REIMBURSEMENT,Income,Reimbursement,$222.65,
1/10/23,SUN LIFE,PSYCHOLOGIST REIMBURSEMENT,Income,Benefits,$200.00,
3/6/23,SUNLIFE,PSYCHOLOGY REIMBURSEMENT,Reimbursements,Benefits,$200.00,
4/12/23,SUN LIFE,BENEFITS,Income,Benefits,$200.00,
8/28/23,MORGAN,MORGAN REIMBURSEMENT,Income,Reimbursement,$200.00,
8/31/23,MORGAN,MORGAN REIMBURSEMENT,Income,Reimbursement,$200.00,
9/29/23,MORGAN,MORGAN REIMBURSEMENT,Income,Reimbursement,$200.00,
7/20/23,GOVT,GOVERNMENT MONEY,Income,Other,$193.00,
10/17/23,GOVT,GOVERNMENT MONEY,Income,Other,$193.00,
9/15/23,USL,PAYROLL,Income,Salary,$183.53,
2/16/23,MORGAN,REIMBURSEMENT,Income,Reimbursement,$180.00,
2/7/23,USL,WORK REIMBURSEMENT,Income,Reimbursement,$171.83,
4/15/23,USL,TXB TFSA,Income,TFSA Matching,$136.00,
4/28/23,USL,TXB TFSA,Income,TFSA Matching,$136.00,
1/18/23,GOVT,CLIMATE CHEQUE,Income,Other,$134.75,
1/15/23,USL,TXB TFSA,Income,TFSA Matching,$122.00,
1/31/23,USL,TXB TFSA,Income,TFSA Matching,$122.00,
2/15/23,USL,TXB TFSA,Income,TFSA Matching,$122.00,
2/28/23,USL,TXB TFSA,Income,TFSA Matching,$122.00,
3/15/23,USL,TXB TFSA,Income,TFSA Matching,$122.00,
3/31/23,USL,TXB TFSA,Income,TFSA Matching,$122.00,
3/13/23,SOCCHOEUN,SQUISHMALLOW REIMBURSEMENT,Reimbursements,Friends,$112.30,
4/18/23,USL,WORK REIMBURSEMENT,Income,Reimbursement,$111.88,
10/16/23,MORGAN,MORGAN REIMBURSEMENT,Income,Reimbursement,$100.00,
2/14/23,USL,WORK REIMBURSEMENT,Income,Reimbursement,$82.84,
6/27/23,USL,REIMBURSEMENT,Income,Reimbursement,$73.10,
1/12/23,GOVT,GST CHEQUE,Income,Other,$68.10,
7/11/23,GOVT,GOVERNMENT MONEY,Income,Other,$68.10,
9/29/23,USL,PAYROLL,Income,Salary,$59.61,
4/28/23,USL,REIMBURSEMENT,Income,Reimbursement,$40.00,
5/16/23,USL,REIMBURSEMENT,Income,Reimbursement,$40.00,
6/13/23,USL,REIMBURSEMENT,Income,Reimbursement,$40.00,
7/18/23,USL,REIMBURSEMENT,Income,Reimbursement,$40.00,
8/22/23,USL,REIMBURSEMENT,Income,Reimbursement,$40.00,
9/12/23,USL,REIMBURSEMENT,Income,Reimbursement,$40.00,
10/10/23,USL,REIMBURSEMENT,Income,Reimbursement,$40.00,
10/18/23,MORGAN,MORGAN REIMBURSEMENT,Income,Reimbursement,$40.00,
4/15/23,USL,MISC - LTD,Other,Deductions,$18.73,
4/28/23,USL,MISC - LTD,Other,Deductions,$18.73,
1/15/23,USL,MISC - LTD,Other,Deductions,$17.01,
1/31/23,USL,MISC - LTD,Other,Deductions,$17.01,
2/15/23,USL,MISC - LTD,Other,Deductions,$17.01,
2/28/23,USL,MISC - LTD,Other,Deductions,$17.01,
3/15/23,USL,MISC - LTD,Other,Deductions,$17.01,
